Process,Lon,Lat,Year,m_se
GIA,-70.375,42.875,1880,4.0695149405622926e-4
GIA,-70.375,42.875,1881,4.0695149405622926e-4
GIA,-70.375,42.875,1882,4.0695149405622926e-4
GIA,-70.375,42.875,1883,4.0695149405622926e-4
GIA,-70.375,42.875,1884,4.0695149405622926e-4
GIA,-70.375,42.875,1885,4.0695149405622926e-4
GIA,-70.375,42.875,1886,4.0695149405622926e-4
GIA,-70.375,42.875,1887,4.0695149405622926e-4
GIA,-70.375,42.875,1888,4.0695149405622926e-4
GIA,-70.375,42.875,1889,4.0695149405622926e-4
GIA,-70.375,42.875,1890,4.0695149405622926e-4
GIA,-70.375,42.875,1891,4.0695149405622926e-4
GIA,-70.375,42.875,1892,4.0695149405622926e-4
GIA,-70.375,42.875,1893,4.0695149405622926e-4
GIA,-70.375,42.875,1894,4.0695149405622926e-4
GIA,-70.375,42.875,1895,4.0695149405622926e-4
GIA,-70.375,42.875,1896,4.0695149405622926e-4
GIA,-70.375,42.875,1897,4.0695149405622926e-4
GIA,-70.375,42.875,1898,4.0695149405622926e-4
GIA,-70.375,42.875,1899,4.0695149405622926e-4
GIA,-70.375,42.875,1900,4.0695149405622926e-4
GIA,-70.375,42.875,1901,4.0695149405622926e-4
GIA,-70.375,42.875,1902,4.0695149405622926e-4
GIA,-70.375,42.875,1903,4.0695149405622926e-4
GIA,-70.375,42.875,1904,4.0695149405622926e-4
GIA,-70.375,42.875,1905,4.0695149405622926e-4
GIA,-70.375,42.875,1906,4.0695149405622926e-4
GIA,-70.375,42.875,1907,4.0695149405622926e-4
GIA,-70.375,42.875,1908,4.0695149405622926e-4
GIA,-70.375,42.875,1909,4.0695149405622926e-4
GIA,-70.375,42.875,1910,4.0695149405622926e-4
GIA,-70.375,42.875,1911,4.0695149405622926e-4
GIA,-70.375,42.875,1912,4.0695149405622926e-4
GIA,-70.375,42.875,1913,4.0695149405622926e-4
GIA,-70.375,42.875,1914,4.0695149405622926e-4
GIA,-70.375,42.875,1915,4.0695149405622926e-4
GIA,-70.375,42.875,1916,4.0695149405622926e-4
